filename,chapter_id,chapter_name_he,image_set,image_number,placement,alt_he,alt_en,subchapter,identification_method
wedding.jpg,prologue,פתח דבר,wedding,0,gallery,פרלה ופנחס בן-הראש ביום חתונתם - דיוקן קלאסי,Perla and Pinchas Ben-Harrosh on their wedding day - classic portrait,wedding_portrait,manual_visual_review
book_g42_016.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,16,inline,פנחס הנער - דיוקן בסטודיו עם חליפה וכובע ברט,Young Pinchas - studio portrait with suit and beret,family_roots,manual_visual_review
book_g42_017.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,17,inline,סבא וסבתא קארו - הורי רינה במלבוש מסורתי,Karo grandparents - Rina's parents in traditional dress,family_roots,manual_visual_review
book_g42_018.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,18,inline,רבי יוסף קארו - מחבר השולחן ערוך,Rabbi Yosef Karo - author of Shulchan Aruch,rabbi_karo,manual_visual_review
book_g42_019.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,19,inline,רב נוסף ממשפחת קארו עם טורבן ספרדי,Another rabbi from Karo family with Spanish turban,rabbi_karo,manual_visual_review
book_g42_026.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,26,inline,"משפחה יהודית-מרוקאית - אב, אם וילד בסטודיו","Jewish-Moroccan family - father, mother and child studio portrait",family_studio,manual_visual_review
book_g42_027.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,27,inline,מצבת שמואל בן הראש זצל - נפטר ספטמבר 1937 (סבא של פנחס),Tombstone of Samuel Ben-Harrosh zl - died September 1937 (Pinchas's grandfather),ancestor_grave,manual_visual_review
book_g42_022.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,22,gallery,חתונה משפחתית בטנג'יר - שנות העשרים,Family wedding in Tangier - 1920s,family_wedding_old,manual_visual_review
book_g42_074.jpg,ch2,פרק ב': מעגל השנה,g42,74,inline,פרלה ופנחס בסוכה עם צלחת תפוחים,Perla and Pinchas in sukkah with apple plate,sukkot,manual_visual_review
book_g42_080.jpg,ch2,פרק ב': מעגל השנה,g42,80,inline,שני ילדים בתחפושות פורים - חתול וחייל,Two children in Purim costumes - cat and soldier,purim,manual_visual_review
book_g42_079.jpg,ch2,פרק ב': מעגל השנה,g42,79,gallery,פנחס עם ילד בתחפושת נמר - חג הפורים,Pinchas with child in tiger costume - Purim,purim,manual_visual_review
book_g45_019.jpg,ch2,פרק ב': מעגל השנה,g45,19,gallery,ילד בתחפושת מלך עם כתר - פורים של נכד,Child in king costume with crown - grandson's Purim,purim,manual_visual_review
book_g45_045.jpg,ch2,פרק ב': מעגל השנה,g45,45,gallery,ילד בתחפושת מרוקאית מסורתית,Child in traditional Moroccan costume,purim,manual_visual_review
book_g42_021.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,21,inline,ממתקים מרוקאיים מסורתיים,Traditional Moroccan sweets,moroccan_cuisine,manual_visual_review
book_g42_024.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,24,inline,צעיר יהודי בקזבלנקה ליד מכונית (MA4 - מרוקו),Young Jewish man in Casablanca by car (MA4 - Morocco plate),casablanca_streets,manual_visual_review
book_g42_025.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,25,inline,תלמידי בית הספר של אליאנס - פנחס מסומן בעיגול אדום,Alliance school students - Pinchas circled in red,alliance_school,manual_visual_review
book_g42_028.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,28,inline,נער על מעקה מרפסת - נעורים בקזבלנקה,Youth on balcony railing - youth in Casablanca,casablanca_youth,manual_visual_review
book_g42_029.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,29,inline,שני נערים חברים - נעורי קזבלנקה,Two young friends - Casablanca youth,casablanca_youth,manual_visual_review
book_g42_030.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,30,inline,חברי הנעורים בקזבלנקה,Casablanca youth friends,casablanca_youth,manual_visual_review
book_g42_031.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,31,inline,שלושה חברים מטיילים ברחוב - אופנת שנות ה-50,Three friends walking the street - 1950s fashion,casablanca_streets,manual_visual_review
book_g42_033.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,33,inline,קבוצת חברים עם אופניים בחצר,Group of friends with bicycles in courtyard,casablanca_youth,manual_visual_review
