filename,chapter_id,chapter_name_he,image_set,image_number,placement,alt_he,alt_en,added_in
book_g45_000.jpg,prologue,פרולוג,g45,0,gallery,ציור: דיוקן הזוג,Painting: Couple portrait,v8.25
book_g45_001.jpg,prologue,פרולוג,g45,1,gallery,ציור משפחתי,Family painting,v8.25
book_g45_002.jpg,prologue,פרולוג,g45,2,gallery,אווירת הבית,Home atmosphere,v8.25
book_g45_003.jpg,prologue,פרולוג,g45,3,gallery,סצנה משפחתית,Family scene,v8.25
book_g45_004.jpg,prologue,פרולוג,g45,4,gallery,תקופה ראשונה,First period,v8.25
book_g45_005.jpg,prologue,פרולוג,g45,5,gallery,פנחס במרפסת,Pinchas on the balcony,v8.25
book_g45_006.jpg,prologue,פרולוג,g45,6,gallery,פרלה בבית,Perla at home,v8.25
wedding.jpg,prologue,פרולוג,wedding,0,gallery,פרלה ופנחס בן-הראש ביום חתונתם,Perla and Pinchas Ben-Harrosh on their wedding day,v8.25
book_g42_016.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,16,inline,תמונה היסטורית מטנג'יר,Historical photo from Tangier,pre-v8.25
book_g42_017.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,17,inline,דיוקן משפחת קארו,Karo family portrait,pre-v8.25
book_g42_018.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,18,inline,רבי יוסף קארו — מחבר השולחן ערוך,Rabbi Yosef Karo - author of Shulchan Aruch,pre-v8.25
book_g42_019.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,19,inline,מבט על קזבלנקה הישנה,View of old Casablanca,pre-v8.25
book_g42_021.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,21,inline,משפחת בן הראש בטנג׳יר,Ben-Harrosh family in Tangier,pre-v8.25
book_g42_020.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,20,gallery,סצנה מן הרחוב היהודי במרוקו,Scene from the Jewish street in Morocco,v8.25
book_g42_022.jpg,ch1,פרק א': שורשים באדמת מרוקו,g42,22,gallery,מבט על העיר אסילה,View of Asilah city,v8.25
book_g45_007.jpg,ch1,פרק א': שורשים באדמת מרוקו,g45,7,gallery,הילדים הראשונים,First children,v8.25
book_g45_008.jpg,ch1,פרק א': שורשים באדמת מרוקו,g45,8,gallery,אירוע משפחתי,Family event,v8.25
book_g45_009.jpg,ch1,פרק א': שורשים באדמת מרוקו,g45,9,gallery,סבא וסבתא,Grandpa and Grandma,v8.25
book_g45_010.jpg,ch1,פרק א': שורשים באדמת מרוקו,g45,10,gallery,תמונה משפחתית,Family photo,v8.25
book_g45_011.jpg,ch1,פרק א': שורשים באדמת מרוקו,g45,11,gallery,אחים ואחיות,Brothers and sisters,v8.25
book_g45_012.jpg,ch1,פרק א': שורשים באדמת מרוקו,g45,12,gallery,דור שני וצאצאיו,Second generation and descendants,v8.25
book_g45_013.jpg,ch1,פרק א': שורשים באדמת מרוקו,g45,13,gallery,סיפור המשפחה,Family story,v8.25
book_g42_023.jpg,ch2,פרק ב': מעגל השנה,g42,23,gallery,ימי החגים בקזבלנקה,Holiday days in Casablanca,v8.25
book_g45_014.jpg,ch2,פרק ב': מעגל השנה,g45,14,gallery,חתונת בן/בת המשפחה,Family member wedding,v8.25
book_g45_015.jpg,ch2,פרק ב': מעגל השנה,g45,15,gallery,אירועים משמחים,Joyful events,v8.25
book_g45_017.jpg,ch2,פרק ב': מעגל השנה,g45,17,gallery,צילום קבוצתי,Group photo,v8.25
book_g45_018.jpg,ch2,פרק ב': מעגל השנה,g45,18,gallery,ימי החגים,Holiday days,v8.25
book_g45_019.jpg,ch2,פרק ב': מעגל השנה,g45,19,gallery,סדר פסח משפחתי,Family Passover Seder,v8.25
book_g45_020.jpg,ch2,פרק ב': מעגל השנה,g45,20,gallery,ראש השנה אצל פרלה,Rosh Hashanah at Perla,v8.25
book_g45_021.jpg,ch2,פרק ב': מעגל השנה,g45,21,gallery,סוכת המשפחה,Family sukkah,v8.25
book_g42_024.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,24,inline,סוכה במרוקו,Sukkah in Morocco,pre-v8.25
book_g42_037.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,37,inline,ילדות במרוקו של פעם,Childhood in old Morocco,pre-v8.25
book_g42_046.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,46,inline,תפילה במרוקו של ילדותי,Prayer in Morocco of my childhood,pre-v8.25
book_g42_032.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,32,gallery,ילדי הכפר היהודי,Children of the Jewish village,v8.25
book_g42_034.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,34,gallery,"אישה במרוקו, פורטרט","Woman in Morocco, portrait",v8.25
book_g42_035.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,35,gallery,סצנה משפחתית במרוקו,Family scene in Morocco,v8.25
book_g42_038.jpg,ch3,פרק ג': מרוקו של ילדותי,g42,38,gallery,תמונה מהילדות,Photo from childhood,v8.25
